ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
208956_x_at,6.15E-05,6.07E-08,5.8169939,7.968474,1.2696362,DUT,deoxyuridine triphosphatase
220068_at,6.31E-05,6.51E-08,5.8015875,7.903411,4.1714047,VPREB3,pre-B lymphocyte 3
218003_s_at,6.43E-05,6.92E-08,5.7880351,7.84625,1.0160181,FKBP3,FK506 binding protein 3
211559_s_at,6.46E-05,7.25E-08,-5.7778684,7.803413,-1.8380035,CCNG2,cyclin G2
210825_s_at,7.37E-05,8.60E-08,5.7402161,7.645098,1.2940473,PEBP1,phosphatidylethanolamine binding protein 1
211795_s_at,7.44E-05,9.30E-08,-5.7230106,7.572931,-1.9877379,FYB,FYN binding protein
203484_at,7.44E-05,9.52E-08,5.7178804,7.551434,0.983273,SEC61G,Sec61 translocon gamma subunit
204753_s_at,7.44E-05,9.68E-08,5.7142322,7.536154,4.3538283,HLF,"HLF, PAR bZIP transcription factor"
213747_at,1.01E-04,1.37E-07,-5.6377749,7.217067,-3.1574937,AZIN1,antizyme inhibitor 1
221194_s_at,1.11E-04,1.55E-07,-5.6095216,7.099723,-1.2188152,TBC1D3P1-DHX40P1///RNFT1,"TBC1D3P1-DHX40P1 readthrough, transcribed pseudogene///ring finger protein, transmembrane 1"
1405_i_at,1.32E-04,1.90E-07,-5.5640576,6.911552,-3.8960495,CCL5,C-C motif chemokine ligand 5
216508_x_at,1.34E-04,1.99E-07,5.5540008,6.870038,1.3936741,,
205984_at,1.43E-04,2.18E-07,5.5328134,6.782709,3.0230942,CRHBP,corticotropin releasing hormone binding protein
204848_x_at,1.59E-04,2.49E-07,-5.5031934,6.660925,-7.2460133,HBG2///HBG1,hemoglobin subunit gamma 2///hemoglobin subunit gamma 1
212995_x_at,1.59E-04,2.57E-07,5.4966799,6.634191,1.0207613,MZT2A///MZT2B///PHGDH,mitotic spindle organizing protein 2A///mitotic spindle organizing protein 2B///phosphoglycerate dehydrogenase
208808_s_at,1.61E-04,2.68E-07,5.4872182,6.595388,1.2152616,HMGB2,high mobility group box 2
210517_s_at,1.80E-04,3.08E-07,5.455601,6.465989,4.0825027,AKAP12,A-kinase anchoring protein 12
200845_s_at,2.61E-04,4.57E-07,5.3655143,6.099555,1.0460116,PRDX6,peroxiredoxin 6
201227_s_at,3.22E-04,5.78E-07,5.3121592,5.884139,0.9775804,NDUFB8,NADH:ubiquinone oxidoreductase subunit B8
213065_at,3.28E-04,6.04E-07,-5.3018286,5.84257,-0.8115639,ZFC3H1,zinc finger C3H1-type containing
207980_s_at,3.44E-04,6.47E-07,-5.2859325,5.778697,-1.7039223,CITED2,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2
207563_s_at,3.49E-04,6.83E-07,-5.2737357,5.729763,-1.2174612,OGT,O-linked N-acetylglucosamine (GlcNAc) transferase
201048_x_at,3.49E-04,6.89E-07,-5.2714752,5.720701,-2.4169957,WTH3DI///RAB6A,"RAB6C-like///RAB6A, member RAS oncogene family"
208549_x_at,3.69E-04,7.54E-07,5.2508787,5.638234,1.1779458,PTMA,"prothymosin, alpha"
212514_x_at,3.69E-04,7.63E-07,-5.2481929,5.627493,-1.7381499,DDX3X,"DEAD-box helicase 3, X-linked"
206591_at,3.99E-04,8.41E-07,5.2256912,5.537636,3.8847895,RAG1,recombination activating gene 1
205361_s_at,4.16E-04,9.14E-07,5.2063594,5.460616,1.1723113,PFDN4,prefoldin subunit 4
209932_s_at,4.16E-04,9.19E-07,5.2051261,5.455708,1.268306,DUT,deoxyuridine triphosphatase
211987_at,4.16E-04,9.36E-07,5.2008921,5.438864,1.2997377,TOP2B,topoisomerase (DNA) II beta
219117_s_at,4.16E-04,9.66E-07,5.1933902,5.409039,1.3098499,FKBP11,FK506 binding protein 11
202412_s_at,4.16E-04,9.71E-07,5.1922736,5.404601,1.6635021,USP1,ubiquitin specific peptidase 1
207549_x_at,4.16E-04,1.00E-06,-5.1845371,5.373873,-1.1525289,CD46,CD46 molecule
201273_s_at,4.16E-04,1.05E-06,5.1740561,5.332287,0.971453,SRP9,signal recognition particle 9
200742_s_at,4.16E-04,1.06E-06,-5.1729394,5.327859,-1.7258088,TPP1,tripeptidyl peptidase 1
208753_s_at,4.16E-04,1.06E-06,5.1727842,5.327244,1.3535087,NAP1L1,nucleosome assembly protein 1 like 1
200679_x_at,4.16E-04,1.07E-06,5.1691315,5.312764,1.1439718,HMGB1,high mobility group box 1
204507_s_at,4.16E-04,1.10E-06,-5.1637262,5.291348,-1.8124326,PPP3R1,"protein phosphatase 3 regulatory subunit B, alpha"
217022_s_at,4.16E-04,1.10E-06,-5.162876,5.287981,-5.4743924,IGHA2///IGHA1///IGH,immunoglobulin heavy constant alpha 2 (A2m marker)///immunoglobulin heavy constant alpha 1///immunoglobulin heavy locus
200604_s_at,4.17E-04,1.12E-06,-5.1584651,5.270516,-1.8163844,PRKAR1A,protein kinase cAMP-dependent type I regulatory subunit alpha
211426_x_at,4.26E-04,1.17E-06,-5.149628,5.235553,-1.0610681,GNAQ,G protein subunit alpha q
200037_s_at,4.63E-04,1.29E-06,5.1263422,5.143593,0.957102,CBX3,chromobox 3
215086_at,4.78E-04,1.35E-06,-5.11541,5.100505,-3.0628321,IBTK,inhibitor of Bruton tyrosine kinase
204749_at,5.56E-04,1.60E-06,5.0760963,4.946006,4.6276011,NAP1L3,nucleosome assembly protein 1 like 3
201177_s_at,5.72E-04,1.67E-06,5.0657645,4.90552,1.1276853,UBA2,ubiquitin like modifier activating enzyme 2
213454_at,5.99E-04,1.77E-06,5.0511389,4.848295,1.0337024,APITD1-CORT///APITD1,"APITD1-CORT readthrough///apoptosis-inducing, TAF9-like domain 1"
205592_at,6.51E-04,1.96E-06,-5.0281493,4.758544,-4.7768237,SLC4A1,solute carrier family 4 member 1 (Diego blood group)
203676_at,6.66E-04,2.06E-06,-5.0161536,4.711811,-2.6151343,GNS,glucosamine (N-acetyl)-6-sulfatase
203316_s_at,6.66E-04,2.06E-06,5.0155892,4.709614,0.9884966,SNRPE,small nuclear ribonucleoprotein polypeptide E
202413_s_at,6.69E-04,2.10E-06,5.0111218,4.692229,1.0820171,USP1,ubiquitin specific peptidase 1
218949_s_at,6.90E-04,2.20E-06,5.000374,4.65044,0.9552413,QRSL1,glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1
221349_at,7.06E-04,2.28E-06,4.9918555,4.617358,5.019207,VPREB1,pre-B lymphocyte 1
37145_at,7.10E-04,2.32E-06,-4.9873079,4.599711,-3.5877293,GNLY,granulysin
213539_at,7.11E-04,2.36E-06,-4.9836389,4.585481,-3.5330257,CD3D,CD3d molecule
211423_s_at,7.75E-04,2.61E-06,4.9598469,4.493359,1.4648603,SC5D,sterol-C5-desaturase
200969_at,7.78E-04,2.68E-06,4.9538257,4.470088,1.0214709,SERP1,stress-associated endoplasmic reticulum protein 1
210097_s_at,7.78E-04,2.69E-06,4.9528419,4.466287,0.9345266,NOL7,nucleolar protein 7
208638_at,7.78E-04,2.74E-06,4.9481773,4.448273,1.2029384,PDIA6,protein disulfide isomerase family A member 6
213548_s_at,7.78E-04,2.76E-06,-4.9465606,4.442032,-2.2169778,CDV3,CDV3 homolog
216933_x_at,7.95E-04,2.86E-06,-4.9375837,4.407401,-2.1221109,APC,"APC, WNT signaling pathway regulator"
211665_s_at,7.95E-04,2.89E-06,-4.9353539,4.398805,-1.4698163,SOS2,SOS Ras/Rho guanine nucleotide exchange factor 2
205898_at,8.25E-04,3.04E-06,-4.9235323,4.353271,-5.078552,CX3CR1,C-X3-C motif chemokine receptor 1
207848_at,8.30E-04,3.09E-06,4.9192226,4.336688,2.8412579,AVP,arginine vasopressin
213129_s_at,8.58E-04,3.24E-06,4.9083823,4.295016,1.3850191,LOC101060817///GCSH,"glycine cleavage system H protein, mitochondrial-like///glycine cleavage system protein H"
213772_s_at,8.74E-04,3.33E-06,-4.9012374,4.267581,-1.6519572,GGA2,"golgi associated, gamma adaptin ear containing, ARF binding protein 2"
218228_s_at,9.47E-04,3.67E-06,-4.8779081,4.178173,-1.2180441,TNKS2,tankyrase 2
203133_at,9.47E-04,3.70E-06,4.8762012,4.171642,1.0363716,SEC61B,Sec61 translocon beta subunit
202345_s_at,9.47E-04,3.74E-06,4.873567,4.161566,1.6380563,FABP5,fatty acid binding protein 5
39891_at,9.68E-04,3.86E-06,-4.8657593,4.131719,-1.2640041,ZNF710,zinc finger protein 710
202690_s_at,1.01E-03,4.09E-06,4.8518203,4.078509,1.2891618,SNRPD1,small nuclear ribonucleoprotein D1 polypeptide
200641_s_at,1.04E-03,4.24E-06,-4.8431988,4.045645,-1.1320692,YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta
206492_at,1.09E-03,4.49E-06,4.8296079,3.993914,1.3626069,FHIT,fragile histidine triad
205176_s_at,1.13E-03,4.70E-06,4.8186981,3.952454,1.0937168,ITGB3BP,integrin subunit beta 3 binding protein
202854_at,1.13E-03,4.79E-06,4.8137134,3.93353,0.9543857,HPRT1,hypoxanthine phosphoribosyltransferase 1
208646_at,1.13E-03,4.84E-06,4.8114797,3.925054,1.3929543,,
211594_s_at,1.13E-03,4.85E-06,4.8109668,3.923109,1.036382,MRPL9,mitochondrial ribosomal protein L9
217281_x_at,1.14E-03,4.98E-06,-4.8044583,3.898428,-4.110256,LOC102725526///IGHV4-31///IGHM///IGHG3///IGHG2///IGHG1///IGHA2///IGHA1///IGH,uncharacterized LOC102725526///immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 3 (G3m marker)///immunoglobulin heavy constant gamma 2 (G2m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant alpha 2 (A2m marker)///immunoglobulin heavy constant alpha 1///immunoglobulin heavy locus
211596_s_at,1.23E-03,5.43E-06,4.7836399,3.819625,3.6137109,LRIG1,leucine rich repeats and immunoglobulin like domains 1
201323_at,1.23E-03,5.46E-06,4.7823255,3.814657,1.2178935,MIR6733///EBNA1BP2,microRNA 6733///EBNA1 binding protein 2
208821_at,1.24E-03,5.60E-06,4.7759334,3.790509,1.0285465,SNRPB,small nuclear ribonucleoprotein polypeptides B and B1
217388_s_at,1.24E-03,5.62E-06,-4.7752908,3.788082,-4.3456697,KYNU,kynureninase
217266_at,1.27E-03,5.81E-06,4.7669085,3.75645,0.9386185,RPL15,ribosomal protein L15
205967_at,1.37E-03,6.37E-06,4.7444675,3.671937,2.0018434,HIST2H4B///HIST4H4///HIST2H4A///HIST1H4L///HIST1H4E///HIST1H4B///HIST1H4H///HIST1H4C///HIST1H4J///HIST1H4K///HIST1H4F///HIST1H4D///HIST1H4A///HIST1H4I,"histone cluster 2, H4b///histone cluster 4, H4///histone cluster 2, H4a///histone cluster 1, H4l///histone cluster 1, H4e///histone cluster 1, H4b///histone cluster 1, H4h///histone cluster 1, H4c///histone cluster 1, H4j///histone cluster 1, H4k///histone cluster 1, H4f///histone cluster 1, H4d///histone cluster 1, H4a///histone cluster 1, H4i"
203613_s_at,1.37E-03,6.39E-06,4.7439004,3.669805,1.1115537,NDUFB6,NADH:ubiquinone oxidoreductase subunit B6
214709_s_at,1.57E-03,7.40E-06,4.7079063,3.534797,1.1668614,KTN1,kinectin 1
201172_x_at,1.57E-03,7.48E-06,-4.7052579,3.52489,-0.9052988,ATP6V0E1,ATPase H+ transporting V0 subunit e1
221559_s_at,1.61E-03,7.73E-06,4.6972489,3.49495,1.2019527,MIS12,"MIS12, kinetochore complex component"
211727_s_at,1.83E-03,8.86E-06,4.663641,3.369676,1.4336262,COX11,"COX11, cytochrome c oxidase copper chaperone"
216984_x_at,1.93E-03,9.44E-06,-4.6478236,3.310918,-3.7110966,IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1,immunoglobulin lambda joining 3///immunoglobulin lambda variable 1-44///cytoskeleton associated protein 2///immunoglobulin lambda variable cluster///immunoglobulin lambda constant 1
211988_at,1.96E-03,9.69E-06,4.6413075,3.286751,1.0054232,SMARCE1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1"
214829_at,1.97E-03,9.81E-06,4.6382343,3.27536,3.9104163,AASS,aminoadipate-semialdehyde synthase
211749_s_at,1.98E-03,9.94E-06,-4.6351252,3.263842,-1.3484836,VAMP3,vesicle associated membrane protein 3
204419_x_at,1.98E-03,1.00E-05,-4.6328227,3.255315,-5.2938612,HBG2///HBG1,hemoglobin subunit gamma 2///hemoglobin subunit gamma 1
202244_at,2.02E-03,1.04E-05,4.6242622,3.223636,0.7408561,PSMB4,proteasome subunit beta 4
200810_s_at,2.02E-03,1.04E-05,4.6234271,3.220548,1.2897632,CIRBP,cold inducible RNA binding protein
206508_at,2.09E-03,1.09E-05,-4.6129946,3.181998,-2.3372651,CD70,CD70 molecule
211747_s_at,2.10E-03,1.10E-05,4.6098605,3.170428,0.992001,LSM5,"LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated"
207686_s_at,2.11E-03,1.12E-05,-4.6059057,3.155837,-1.729046,CASP8,caspase 8
219737_s_at,2.21E-03,1.18E-05,4.592158,3.105176,3.6393719,PCDH9,protocadherin 9
212008_at,2.23E-03,1.20E-05,-4.5879754,3.089783,-1.016438,UBXN4,UBX domain protein 4
203396_at,2.24E-03,1.22E-05,4.5841267,3.075626,0.7205371,PSMA4,proteasome subunit alpha 4
217802_s_at,2.24E-03,1.23E-05,4.5829621,3.071344,1.297664,NUCKS1,nuclear casein kinase and cyclin dependent kinase substrate 1
211902_x_at,2.26E-03,1.25E-05,-4.5774226,3.050986,-1.7268876,YME1L1,YME1 like 1 ATPase
205297_s_at,2.26E-03,1.26E-05,4.5760669,3.046006,2.6487168,CD79B,CD79b molecule
220145_at,2.26E-03,1.27E-05,4.5743793,3.039809,3.3552421,MAP9,microtubule associated protein 9
200680_x_at,2.28E-03,1.30E-05,4.5686294,3.018704,0.7566334,HMGB1,high mobility group box 1
202276_at,2.28E-03,1.30E-05,4.5683094,3.01753,1.009777,SHFM1,split hand/foot malformation (ectrodactyly) type 1
209357_at,2.37E-03,1.36E-05,-4.5563703,2.973766,-1.4921594,CITED2,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2
206380_s_at,2.38E-03,1.38E-05,-4.5533715,2.962785,-5.0524321,CFP,complement factor properdin
205821_at,2.40E-03,1.40E-05,-4.5498963,2.950067,-2.4321724,KLRC4-KLRK1///KLRK1,KLRC4-KLRK1 readthrough///killer cell lectin like receptor K1
200628_s_at,2.66E-03,1.56E-05,-4.5219253,2.847932,-1.9086333,WARS,tryptophanyl-tRNA synthetase
209906_at,2.70E-03,1.60E-05,-4.5166179,2.8286,-2.7401984,C3AR1,complement component 3a receptor 1
219436_s_at,2.74E-03,1.64E-05,4.5103717,2.805867,2.4300984,EMCN,endomucin
219067_s_at,2.81E-03,1.69E-05,4.5028963,2.778689,1.0309792,NSMCE4A,"NSE4 homolog A, SMC5-SMC6 complex component"
201089_at,2.89E-03,1.78E-05,-4.4893555,2.729535,-1.3717406,ATP6V1B2,ATPase H+ transporting V1 subunit B2
216570_x_at,2.89E-03,1.80E-05,4.4871939,2.721698,0.7479142,,
200743_s_at,2.89E-03,1.80E-05,-4.4858482,2.71682,-1.2014906,TPP1,tripeptidyl peptidase 1
208795_s_at,2.89E-03,1.81E-05,4.4855292,2.715664,1.2837095,MCM7,minichromosome maintenance complex component 7
209189_at,2.89E-03,1.81E-05,-4.4852143,2.714523,-2.2316874,FOS,"Fos proto-oncogene, AP-1 transcription factor subunit"
213695_at,2.89E-03,1.82E-05,-4.48439,2.711535,-2.4008388,PON3,paraoxonase 3
219144_at,2.91E-03,1.84E-05,4.480441,2.69723,2.4957452,DUSP26,dual specificity phosphatase 26 (putative)
201992_s_at,3.04E-03,1.93E-05,-4.4682612,2.653161,-1.1801035,KIF5B,kinesin family member 5B
219598_s_at,3.05E-03,1.96E-05,4.4649887,2.641334,1.0895907,RWDD1,RWD domain containing 1
215214_at,3.08E-03,2.01E-05,-4.4580071,2.616123,-3.5577945,IGLC1,immunoglobulin lambda constant 1
207576_x_at,3.08E-03,2.04E-05,4.4552145,2.606046,2.0146627,OXT,oxytocin/neurophysin I prepropeptide
209023_s_at,3.08E-03,2.05E-05,4.4535227,2.599943,1.4081578,STAG2,stromal antigen 2
218187_s_at,3.08E-03,2.05E-05,4.4534703,2.599754,1.0130286,C8orf33,chromosome 8 open reading frame 33
200073_s_at,3.08E-03,2.06E-05,4.4524667,2.596134,0.8799193,HNRNPD,heterogeneous nuclear ribonucleoprotein D
209323_at,3.08E-03,2.06E-05,4.4522071,2.595198,0.8106518,THAP12,THAP domain containing 12
209067_s_at,3.17E-03,2.14E-05,4.443185,2.562686,1.015597,HNRNPDL,heterogeneous nuclear ribonucleoprotein D like
205937_at,3.17E-03,2.15E-05,4.4416244,2.557067,2.3911906,CGREF1,cell growth regulator with EF-hand domain 1
202298_at,3.18E-03,2.17E-05,4.4390945,2.54796,1.1664518,NDUFA1,NADH:ubiquinone oxidoreductase subunit A1
212271_at,3.18E-03,2.19E-05,-4.4373279,2.541603,-0.8947053,MAPK1,mitogen-activated protein kinase 1
208018_s_at,3.20E-03,2.21E-05,-4.4340475,2.529804,-2.8968454,HCK,"HCK proto-oncogene, Src family tyrosine kinase"
211383_s_at,3.24E-03,2.27E-05,-4.4272808,2.505483,-0.7788929,WDR37,WD repeat domain 37
202604_x_at,3.24E-03,2.27E-05,-4.4271978,2.505184,-1.00452,ADAM10,ADAM metallopeptidase domain 10
210167_s_at,3.24E-03,2.28E-05,-4.4263396,2.502102,-2.882547,TEF,"TEF, PAR bZIP transcription factor"
219396_s_at,3.32E-03,2.35E-05,4.4185078,2.473988,2.3942588,MIR631///NEIL1,microRNA 631///nei like DNA glycosylase 1
217768_at,3.34E-03,2.39E-05,4.4146914,2.4603,0.6321049,C14orf166,chromosome 14 open reading frame 166
218599_at,3.34E-03,2.40E-05,4.4133294,2.455418,1.2953039,REC8,REC8 meiotic recombination protein
201702_s_at,3.42E-03,2.47E-05,4.4060127,2.429205,2.3562264,PPP1R10,protein phosphatase 1 regulatory subunit 10
216714_at,3.45E-03,2.51E-05,-4.4019875,2.414796,-1.202768,CCL13,C-C motif chemokine ligand 13
221452_s_at,3.45E-03,2.53E-05,4.4001458,2.408207,1.1531084,TMEM14B,transmembrane protein 14B
216591_s_at,3.45E-03,2.55E-05,-4.3982874,2.40156,-1.6589883,SDHC,succinate dehydrogenase complex subunit C
213708_s_at,3.45E-03,2.56E-05,-4.396636,2.395655,-0.8190294,MLX,"MLX, MAX dimerization protein"
208673_s_at,3.45E-03,2.57E-05,4.3955754,2.391863,0.9929284,SRSF3,serine and arginine rich splicing factor 3
207238_s_at,3.45E-03,2.58E-05,-4.3946737,2.38864,-1.3302007,PTPRC,"protein tyrosine phosphatase, receptor type C"
213166_x_at,3.46E-03,2.61E-05,4.3921884,2.379758,0.9870146,MIR4784///MZT2A///MZT2B,microRNA 4784///mitotic spindle organizing protein 2A///mitotic spindle organizing protein 2B
213846_at,3.46E-03,2.63E-05,4.3897803,2.371156,0.762724,COX7C,cytochrome c oxidase subunit 7C
203362_s_at,3.46E-03,2.64E-05,4.3890791,2.368651,1.4977717,MAD2L1,MAD2 mitotic arrest deficient-like 1 (yeast)
202815_s_at,3.48E-03,2.68E-05,-4.3856646,2.356461,-1.3473054,HEXIM1,hexamethylene bisacetamide inducible 1
204510_at,3.48E-03,2.68E-05,4.3848108,2.353414,0.8325621,CDC7,cell division cycle 7
201486_at,3.54E-03,2.75E-05,4.3787592,2.331827,1.4417695,RCN2,reticulocalbin 2
208955_at,3.62E-03,2.83E-05,4.3715775,2.306235,0.9600943,DUT,deoxyuridine triphosphatase
221570_s_at,3.63E-03,2.85E-05,4.3691891,2.297731,0.909342,METTL5,methyltransferase like 5
221082_s_at,3.64E-03,2.88E-05,-4.3668808,2.289515,-0.9505698,NDRG3,NDRG family member 3
202620_s_at,3.64E-03,2.90E-05,4.3654143,2.284296,3.7562525,PLOD2,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 2"
201036_s_at,3.64E-03,2.91E-05,4.3642625,2.280198,1.1725724,HADH,hydroxyacyl-CoA dehydrogenase
219651_at,3.66E-03,2.94E-05,4.3618477,2.27161,3.3764761,DPPA4,developmental pluripotency associated 4
207895_at,3.66E-03,2.95E-05,4.3602465,2.265917,3.8735012,NAALADL1,N-acetylated alpha-linked acidic dipeptidase-like 1
204528_s_at,3.70E-03,3.00E-05,4.3559077,2.250497,1.2007302,NAP1L1,nucleosome assembly protein 1 like 1
209183_s_at,3.85E-03,3.15E-05,4.3435277,2.206558,3.2865982,C10orf10,chromosome 10 open reading frame 10
202330_s_at,3.85E-03,3.16E-05,4.3428635,2.204203,1.3139927,UNG,uracil DNA glycosylase
202946_s_at,4.05E-03,3.34E-05,4.3286319,2.153805,1.5688466,BTBD3,BTB domain containing 3
219373_at,4.09E-03,3.42E-05,4.3226027,2.132489,0.9787988,DPM3,dolichyl-phosphate mannosyltransferase subunit 3
209296_at,4.09E-03,3.44E-05,-4.3213587,2.128093,-0.8577402,PPM1B,"protein phosphatase, Mg2+/Mn2+ dependent 1B"
208708_x_at,4.09E-03,3.44E-05,-4.3213514,2.128067,-1.0042945,EIF5,eukaryotic translation initiation factor 5
214483_s_at,4.14E-03,3.49E-05,-4.3171709,2.113302,-1.506831,ARFIP1,ADP ribosylation factor interacting protein 1
200769_s_at,4.16E-03,3.53E-05,-4.3146862,2.10453,-1.1781507,MAT2A,methionine adenosyltransferase 2A
208766_s_at,4.23E-03,3.61E-05,4.3084741,2.082616,0.7425478,HNRNPR,heterogeneous nuclear ribonucleoprotein R
200891_s_at,4.24E-03,3.64E-05,4.3066897,2.076326,1.1006047,SSR1,signal sequence receptor subunit 1
200778_s_at,4.35E-03,3.75E-05,-4.2988983,2.04888,-0.8423343,SEPT2,septin 2
210031_at,4.47E-03,3.87E-05,-4.2902593,2.018488,-2.4992989,CD247,CD247 molecule
200661_at,4.61E-03,4.01E-05,-4.2810631,1.986183,-1.4536325,CTSA,cathepsin A
215416_s_at,4.63E-03,4.06E-05,4.2783078,1.976514,0.8889277,STOML2,stomatin like 2
201477_s_at,4.64E-03,4.08E-05,4.2764561,1.970018,1.0040643,RRM1,ribonucleotide reductase catalytic subunit M1
209267_s_at,4.69E-03,4.16E-05,4.2719277,1.95414,1.2955954,SLC39A8,solute carrier family 39 member 8
200914_x_at,4.69E-03,4.16E-05,4.2714399,1.95243,1.3586111,KTN1,kinectin 1
217378_x_at,4.77E-03,4.26E-05,-4.2656893,1.932285,-3.6566615,IGKV1OR2-108,immunoglobulin kappa variable 1/OR2-108 (non-functional)
202534_x_at,4.79E-03,4.30E-05,4.2629145,1.922572,1.2008605,DHFR,dihydrofolate reductase
211698_at,4.91E-03,4.45E-05,4.2539346,1.891167,1.4640398,EID1,EP300 interacting inhibitor of differentiation 1
207809_s_at,4.91E-03,4.45E-05,-4.2538688,1.890937,-1.0598379,ATP6AP1,ATPase H+ transporting accessory protein 1
213515_x_at,4.91E-03,4.47E-05,-4.253008,1.887929,-4.576933,HBG2///HBG1,hemoglobin subunit gamma 2///hemoglobin subunit gamma 1
214800_x_at,4.99E-03,4.57E-05,4.2470173,1.867007,0.8235684,BTF3,basic transcription factor 3
213836_s_at,4.99E-03,4.59E-05,-4.2462093,1.864187,-2.3954812,WIPI1,"WD repeat domain, phosphoinositide interacting 1"
215380_s_at,5.09E-03,4.72E-05,4.238881,1.838625,0.7843381,GGCT,gamma-glutamylcyclotransferase
211931_s_at,5.09E-03,4.78E-05,4.235368,1.826383,0.8907044,HNRNPA3///HNRNPA3P1,heterogeneous nuclear ribonucleoprotein A3///heterogeneous nuclear ribonucleoprotein A3 pseudogene 1
204559_s_at,5.09E-03,4.79E-05,4.2346839,1.823999,1.0664808,LSM7,"LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated"
208290_s_at,5.09E-03,4.79E-05,-4.234636,1.823832,-0.989434,EIF5,eukaryotic translation initiation factor 5
205022_s_at,5.09E-03,4.80E-05,4.2345802,1.823638,1.0799478,FOXN3,forkhead box N3
217189_s_at,5.28E-03,5.02E-05,-4.2226775,1.782216,-0.9525202,SMG7,"SMG7, nonsense mediated mRNA decay factor"
221651_x_at,5.28E-03,5.02E-05,-4.2226372,1.782076,-2.9590205,IGK///IGKC,immunoglobulin kappa locus///immunoglobulin kappa constant
200047_s_at,5.50E-03,5.25E-05,4.2106959,1.740603,0.6340294,YY1,YY1 transcription factor
203538_at,5.53E-03,5.31E-05,4.2080285,1.73135,0.9898906,CAMLG,calcium modulating ligand
214097_at,5.63E-03,5.43E-05,4.201847,1.709923,1.2605133,RPS21,ribosomal protein S21
209337_at,5.64E-03,5.47E-05,4.2002549,1.704408,1.2981007,PSIP1,PC4 and SFRS1 interacting protein 1
207335_x_at,5.66E-03,5.51E-05,4.1981977,1.697284,0.8422149,ATP5I,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit E"
